name,address,phone,email,website_present,website,cuisines,rating,reviews,pricing
China Bistro,"Sion Trombay Road Chembur East, Mumbai",,chinabistro.restaurant@gmail.com,True,https://www.eazydiner.com/mumbai/china-bistro-chembur-222750,,,,
The Villa Exotic,"R M Bhattad Road Borivali West, Mumbai",08123763855,,True,https://www.zomato.com/mumbai/the-villa-exotic-sip-and-cuisine-borivali-west/order,,,,
GIGI Bombay,"Linking Road Bandra West, Mumbai",09845218600,rm.gigi@chromeasia.net,True,https://www.zomato.com/mumbai/gigi-linking-road-bandra-west/book,,,,
Gypsy Chinese Restaurant,"Keluskar Road Dadar West, Mumbai",07041433568,gypsy@gypsyrestaurant.in,True,https://www.swiggy.com/restaurants/gypsy-chinese-dadar-shivaji-park-mahim-dadar-mumbai-63677,,,,
Sesame (Hyatt Centric),"Juhu Tara Road Juhu, Mumbai",09035264703,,True,https://foodinnrestaurant.com/order/food-inn-lokhandwala-complex-andheri-west-mumbai,,,,
Kofuku,"Linking Road Bandra West, Mumbai",,rinchen.kofuku@gmail.com,True,https://www.zomato.com/mumbai/kofuku-santacruz-west/book,,,,
San Qi (Four Seasons Hotel),"Dr.Elijah Moses Road Worli, Mumbai",,sanqi.mumbai@fourseasons.com,True,https://www.zomato.com/mumbai/san-qi-four-seasons-worli/book,,,,
Asia Kitchen By Mainland China,"New Link Road Malad West, Mumbai",,mlcmalad@speciality.co.in,True,http://www.speciality.co.in/,,,,
Keibaa X All Saints,"Mahalaxmi, Mumbai",08460389446,,False,,,,,
Yuhi Lounge,"Powai, Mumbai",08460565990,,True,https://www.zomato.com/mumbai/yuhi-powai/order,,,,
Blue's Kitchen,"Pali Hill-Bandra West, Mumbai",,sadir.ali55@gmail.com,True,http://www.blueskitchenbyloima.com/,,,,
Aegyo Cafe & Bakehouse,"Santacruz Santacruz West, Mumbai",,aegyoindia@gmail.com,False,,,,,
Pondo King,"Smt Gladys Alvares Road Thane West, Thane",07041850480,pondokingfoods@gmail.com,True,https://www.zomato.com/mumbai/mama-pando-chinese-manpada-thane-west-thane/order,,,,
Pa Pa Ya,"Bandra Kurla Complex-Bandra East, Mumbai",08147104480,papaya.bkc@massiverestaurants.com,True,http://www.gopapaya.co.in/,,,,
Dome (InterContinental Hotels & Resorts),"Netaji Subhash Road Marine Drive, Mumbai",,marinedrive@interconti.com,True,https://www.zomato.com/mumbai/dome-churchgate/book,,,,
Town Hall,"Senapati Bapat Marg Lower Parel, Mumbai",07041433568,,True,https://www.zomato.com/mumbai/town-hall-lower-parel/order,,,,
Novaara,"New Link Road Malad West, Mumbai",08792910438,,True,https://www.swiggy.com/restaurants/novaara-malad-west-andheri-west-mumbai-919420,,,,
Izumi,"24th Road Bandra West, Mumbai",08460539250,hello@izumi.in,True,http://www.thrivenow.in/,,,,
Taki Taki,"Senapati Bapat Marg Lower Parel, Mumbai",08460299336,,False,,,,,
Tai Pei Authentic Asian Cuisine,"Bhakti Mandir Panch Pakhdi Thane West, Thane",,,False,,,,,
Chin Chin Chu,"A B Nair Road Juhu, Mumbai",,chinchinchujuhu@gmail.com,True,https://www.zomato.com/mumbai/chin-chin-chu-juhu/order,,,,
The Fatty Bao,"Linking Road Bandra West, Mumbai",,thefattybaomum@gmail.com,True,https://www.zomato.com/mumbai/the-fatty-bao-linking-road-bandra-west/order,,,,
Seefah Restaurant,"Hill Road Bandra West, Mumbai",,seeran_hospitality@yahoo.com,True,https://www.eazydiner.com/mumbai/seefah-hill-road-bandra-west-western-suburbs-661464,,,,
Fingerprint Kitchen & Bar,"New Link Road Malad West, Mumbai",08792910438,KUSHWAHA.PRAVEEN30@GMAIL.COM,True,https://www.zomato.com/mumbai/fingerprint-kitchen-bar-malad-west/order,,,,
Cafe S (E) Oul,"Vasai West, Palghar",,,True,https://www.zomato.com/mumbai/cafe-s-e-oul-vasai/book,,,,
AOI,"Devle Road Tara Juhu, Mumbai",,,False,,,,,
Mansionairre By The Roof,"Wagle Industrial Estate Thane West, Thane",08511649459,,False,,,,,
Pincuk,"Sector 20 D Airoli, Navi Mumbai",08123772713,info@pincuk.co.in,True,http://www.pincuk.co.in/,,,,
Kuuraku,"SV Road Bandra West, Mumbai",07043487447,,True,http://www.kuuraku.co.jp/,,,,
Sozo Izakaya,"Jp Road Versova, Mumbai",,,True,https://www.zomato.com/mumbai/sozo-izakaya-versova/order,,,,
Chi Na Chi Ni (Hotel Royal Tulip),"Royal Tulip Luxury Hotel Kharghar Sector 7, Navi Mumbai",,dine@royaltulip-navimumbai.com,False,,,,,
Akina Contemporary Japanese Restaurant And Bar,"Linking Road Bandra West, Mumbai",,,True,https://www.zomato.com/mumbai/akina-1-linking-road-bandra-west/order,,,,
Wasabi By Morimoto (The Taj Mahal Palace),"The Taj Mahal Palace Apollo Bunder, Mumbai",,tmhfb.bom@tajhotels.com,False,,,,,
Lyke,"Salpadevi Pada-Mulund West, Mumbai",07411659196,,True,https://www.swiggy.com/restaurants/lyke-west-mulund-mumbai-832735,,,,
Global Fusion Restaurant,"Four Bunglows-Andheri West, Mumbai",09035264703,gftimesquare@cggroup93.com,True,https://foodinnrestaurant.com/order/food-inn-lokhandwala-complex-andheri-west-mumbai,,,,
Fingerprint - Kitchen & Bar,"New Link Road Malad West, Mumbai",08792910438,KUSHWAHA.PRAVEEN30@GMAIL.COM,True,https://www.swiggy.com/restaurants/fingerprint-kitchen-and-bar-malad-west-andheri-west-mumbai-775986,,,,
Bang Tan Shefs,"Kanakia Road Mira Road East, Thane",09035273176,,True,https://publuu.com/,,,,
