name,address,phone,email,website_present,website,cuisines,rating,reviews,pricing,instagram,facebook,twitter,linkedin,youtube
China Bistro,"Sion Trombay Road Chembur East, Mumbai",,chinabistro.restaurant@gmail.com,True,https://www.eazydiner.com/mumbai/china-bistro-chembur-222750,,,,"s
4",,,,,
The Fatty Bao,"Linking Road Bandra West, Mumbai",,thefattybaomum@gmail.com,True,https://www.zomato.com/mumbai/the-fatty-bao-linking-road-bandra-west/order,"Chinese,Multicuisine,Thai,Japanese,Pan Asian",4.2,6550,"s
4",,,,,
Red Turtle,"Link Road Malad West, Mumbai",,redturtle064@gmail.com,False,,,,,"s
4",,,,,
Origami Restaurant,"Supreme Business Park Powai, Mumbai",,origamirestaurants@gmail.com,False,,,,,"s
4",,,,,
Koko,"Senapati Bapat Road Lower Parel, Mumbai",,info@kokorestaurant.in,True,http://www.kokorestaurants.com/,,,,"s
4",,,,,
Chimichurri,"Andheri Kurla Road Andheri East, Mumbai",08460565990,,False,,,,,"s
4",,,,,
Bo Reverie,"Link Road Borivali West, Mumbai",07383102203,,True,https://www.swiggy.com/restaurants/bo-reverie-borivali-west-andheri-west-mumbai-828190,"North Indian,Continental,Thai,Japanese,Pan Asian",4.1,2404,"s
4",,,,,
Eve Cafe & Bar,"Motilal Sanghi Road Worli, Mumbai",09845218600,,False,,,,,"s
4",,,,,
Pincuk,"Sector 20 D Airoli, Navi Mumbai",08460437472,info@pincuk.co.in,True,http://www.pincuk.co.in/,"Chinese,Thai,Japanese,Oriental,Indonesian",4.3,2661,"s
4",,,,,
Seven Kitchens (The St. Regis),"Senapati Bapat Marg Lower Parel, Mumbai",,,True,https://www.zomato.com/mumbai/seven-kitchens-the-st-regis-mumbai-lower-parel/order,,,,"s
4",,,,,
Chin Chin Chu,"A B Nair Road Juhu, Mumbai",,chinchinchujuhu@gmail.com,True,https://www.zomato.com/mumbai/chin-chin-chu-juhu/order,,,,"s
4",,,,,
Shizusan,"Senapati Bapat Marg Lower Parel, Mumbai",,shizusan.hsp@lpf.co.in,True,https://www.zomato.com/mumbai/shizusan-lower-parel/order,,,,"s
4",,,,,
Pa Pa Ya,"Senapati Bapat Marg Lower Parel, Mumbai",,papaya.lp@massiverestaurants.com,True,http://www.gopapaya.co.in/,"Chinese,Multicuisine,Thai,Japanese,Pan Asian,Malaysian",4.4,8737,"s
4",,,,,
Aegyo Cafe & Bakehouse,"Santacruz Santacruz West, Mumbai",,aegyoindia@gmail.com,False,,,,,"s
4",,,,,
Global Fusion Restaurant,"A K Road Andheri East, Mumbai",,gftimesquare@cggroup93.com,True,http://www.chinagategroup.com/,,,,"s
4",,,,,
